mouse_id	Distance_Traveled_cm	Light_Dark_Transitions	Pct_Time_Light_4mins	Pct_Time_Light	Pct_Time_Light_Slope
F100	3874.7	6	7.55	55.11	-0.07
F101	4215.46	46	5.98	39.96	0
F102	2603.12	22	5.16	41.64	0.02
F103	2361.54	21	4.03	24.81	0.09
F104	3600.37	21	5.14	41.78	-0.02
F105	2295.7	52	9.77	32.65	0.24
F106	4291.2	36	8.75	42.72	-0.04
F107	223.86	25	12.38	13.25	0.32
F118	3398.71	43	5.11	40.66	-0.02
F119	2984.61	13	8.06	41.95	-0.12
F120	1697.51	69	5.59	20.82	0.18
F121	3896.91	18	3.98	41.91	-0.06
F122	1865.93	7	10.39	27.11	0.11
F123	47.23	16	0.04	0.04	1.47
F124	5113.26	34	8.04	51.3	-0.43
F125	2725.59	0	5.13	34.16	-0.16
F126	2294.44	28	1.93	28.8	0.45
F127	3566.14	48	7.67	39.78	-0.05
F135	5032.3	47	6.07	46.17	0.08
F137	2470.25	26	5.96	36.11	0.02
F138	2187.86	29	6.94	24.79	-0.07
F139	385.19	10	5.52	5.86	-1.62
F140	3515.87	35	4.25	40.58	0.2
F141	2561.34	34	3.43	33.04	0.21
F142	3600.21	20	7.57	65.25	0.13
F143	3925.75	30	4.68	51.1	0.16
F154	3529.72	43	4.9	28.67	0.03
F155	4182.88	46	8.25	34.78	-0.15
F157	3221.73	32	4.72	40.82	0.15
F158	1807.29	31	8.73	30.32	0.26
F159	4822.49	49	5.5	38.17	-0.04
F160	3838.08	34	5.87	46.75	0.23
F161	2704.96	36	3.64	27.88	0.19
F162	2719.52	21	12.06	36.18	-0.09
F163	304.46	5	15.32	15.32	-1.47
F164	2026.63	20	6.04	26.03	-0.02
F165	2078.18	19	3.53	30.16	0.09
F166	429.74	7	6.8	9.66	-1.62
F167	5413.95	47	11.13	59.28	0.06
F169	3033.67	43	7.05	31.23	0.01
F173	1341.91	14	5.82	24.71	-0.21
F174	5592.04	54	5.77	49.42	0.16
F175	2252.26	37	1.62	27.85	0.39
F176	1734.11	24	2.74	24.02	0.28
F177	4370.58	51	6.83	52.02	0.08
F178	4096.82	46	6.4	37.72	0.05
F179	1585.4	22	10.35	33.32	-0.14
F180	6730.48	73	9.02	48.73	0
F181	103.67	6	7.16	7.16	-1.31
F182	3063.36	35	9.07	36.19	-0.11
F183	723.2	12	5.01	10.71	0.4
F184	3139.04	44	7.17	35.14	-0.04
F185	752.38	9	4.45	12.1	-0.73
F186	230.72	8	13.34	14.03	-1.13
F187	145.53	5	7.6	7.6	-1.33
F188	4014.5	45	8.22	41.97	-0.07
F189	3694.89	30	10.8	54.18	0.03
F190	3171.89	44	5.91	30.8	-0.16
F191	6510.82	69	11.61	55.59	0.12
F192	2564.73	36	6.11	22.88	-0.08
F206	2496.84	35	3.89	28.47	-0.19
F207	4066.79	36	6.64	51.26	0.03
F208	1343.22	22	2.41	13.3	0.56
F209	3156.08	24	12.48	48.53	-0.19
F210	3867.52	25	3.66	49.05	0.19
F211	1492.83	18	3.77	20.06	0.24
F212	6464.05	60	8.81	52.16	0.02
F213	1892.96	32	6.08	17.32	-0.29
F235	2151.91	25	4.26	27.89	0.05
F236	3427.4	41	6.46	34.46	-0.21
F237	2564.33	18	13.89	77.76	0.04
F238	1905.9	26	8.37	30.88	-0.02
