mouse_id	Distance_cm_First_4min	Total_Distance_cm	Distance_Change_first_last	Percent_Time_in_Corner	Pct_Time_Corner_Slope	Percent_Time_Periphery	Pct_Time_Periphery_Slope	Percent_Time_Center	Time_Center_Slope	PercentTime_Mobile	Fecal_Boli_Count
F100	1320.317	5447.896	426.267	42.128	0.005	7.936	0.567	2.553429066960741	0.191	14.128	5
F101	1178.068	6748.265	-170.196	57.961	-0.121	18.482	0.204	0.9838699100999074	0.033	18.293	6
F102	1386.93	5455.784	487.624	50.904	-0.102	6.89	-1.472	1.2345039489608771	-0.036	11.954	6
F103	1637.089	6243.934	844.33	52.213	0.027	7.246	-1.049	1.177709641634983	-0.576	29.666	2
F104	1614.761	7984.466	142.78	45.284	-0.013	5.838	-0.863	1.9185932346383379	-0.085	25.133	4
F105	1852.615	6552.017	752.726	34.101	-0.096	8.99	-0.098	2.791773629791642	-0.048	16.216	8
F106	1738.19	6811.782	752.523	57.93	0.019	21.85	-0.089	1.1282730166054669	0.086	23.454	5
F107	1753.466	7769.007	480.682	41.211	-0.156	5.689	0.382	2.2253089673121798	0.448	26.204	6
F118	1904.337	7333.438	583.911	44.036	-0.063	12.273	-0.312	1.6607227342335023	-0.228	22.659	12
F119	1349.885	3996.996	922.211	49.116	0.271	1.93	-0.309	1.2786711852544421	-1.5	6.985	3
F120	1646.596	4849.284	1190.428	38.875	-0.052	29.099	0.206	1.6269603560013377	-0.387	13.686	7
F121	1823.747	7780.708	630.615	38.349	-0.087	9.32	-0.353	1.2907362240210043	0.041	24.908	6
F122	1235.536	4138.884	540.777	63.63	0.015	12.849	-0.423	0.9402127418834527	-0.139	8.397	4
F123	915.127	4152.053	-137.65	78.768	0.125	15.554	-0.303	0.1	0	16.444	4
F124	2259.924	9253.875	908.488	35.755	-0.132	4.545	-0.65	1.4487926007541592	-0.468	34.273	6
F125	1721.252	6671.787	545.338	48.148	0.081	17.746	-0.195	1.96596032513375	-0.577	15.721	6
F126	771.869	3295.813	107.989	28.053	0.232	49.547	-0.186	1.0305338422390602	-0.406	20.874	6
F127	1138.592	5021.604	188.651	9.932	-0.075	55.308	0.025	0.9792854537876073	-0.874	40.718	7
F135	1238.984	6591.012	-37.305	43.346	-0.087	21.655	-0.201	2.002997753368685	-0.151	29.179	4
F137	1998.158	7205.589	1024.107	47.681	-0.127	24.327	0.032	1.2731849826321389	0.023	20.974	9
F138	1711.876	6149.194	530.119	50.865	0.019	18.582	-0.147	1.845535152740256	-0.626	20.963	7
F139	1304.816	3949.83	737.661	50.481	0.181	2.066	-2.019	1.7052858997833764	0.056	6.826	15
F140	1241.66	5442.367	219.751	43.452	-0.06	3.764	-0.32	2.0216330032921404	-0.106	28.367	5
F141	736.578	3191.307	160.121	50.898	0.153	29.137	-0.21	1.0639548862616308	-1.397	13.53	5
F142	1991.04	5175.587	1434.981	46.791	0.122	7.952	0.113	1.625423021862309	-0.406	14.261	7
F143	1111.762	6025.37	54.995	57.218	0.05	6.651	0.227	1.7922053453775881	-0.022	14.673	6
F154	1925.077	6653.267	845.506	12.393	-0.301	44.57	-0.096	0.9148770409186143	-0.466	41.336	5
F155	1560.445	5124.352	807.885	34.715	0.158	14.399	0.762	1.9107590114925534	0.261	21.46	3
F157	1316.822	6468.639	10.187	26.78	-0.134	23.218	-0.214	1.6733200530681511	0.596	13.6	4
F158	1036.245	4978.531	233.625	44.328	0.009	31.329	-0.095	1.1683321445547923	-0.189	46.135	4
F159	1765.84	6473.271	601.695	52.244	0.149	14.609	0.091	0.9549869109050658	-0.432	29.938	8
F160	1396.951	5394.628	378.136	45.126	0.108	11.756	-0.13	1.841738309315414	0.001	23.504	6
F161	1408.821	5511.793	424.977	43.911	-0.055	8.959	-2.037	0.650384501660364	0.654	10.296	10
F162	1081.912	4181.41	360.514	58.631	0.137	8.536	-2.283	2.118490028298458	-0.208	6.885	10
F163	346.53	3358.075	-329.415	58.192	-0.245	26.407	0.957	1.0089598604503551	-0.689	3.606	3
F164	1212.45	4290.34	516.771	68.708	0.063	12.429	0.023	1.6774981371077584	-0.891	7.349	7
F165	864.178	4425.518	201.417	7.627	0.595	0	0	5.397128866351071	0.01	5.458	9
F166	946.227	3809.348	268.022	47.687	0.06	23.974	0.116	2.2297981971469976	-0.116	5.661	5
F167	1703.948	8440.556	147.629	48.941	0.027	15.913	-0.228	1.4923136399564267	-0.456	29.302	4
F169	1580.864	6302.534	612.336	44.859	-0.05	2.409	1.005	1.697939928266015	-0.577	12.66	5
F173	1003.362	2563.624	688.051	57.766	0.208	35.8	-1.826	0.687749954561976	-1.667	4.93	11
F174	1595.748	8397.854	-59.826	47.517	-0.095	29.304	0.007	1.192057045614848	-0.45	19.778	3
F175	1096.673	4834.905	265.868	39.223	-0.038	6.357	0.272	1.7360875553957524	-0.252	8.589	5
F176	479.984	3037.496	77.68	79.724	-0.025	1.544	0.305	0.5779273310719956	-0.912	3.94	15
F177	1502.65	6455.643	244.226	45.484	0.015	12.905	-0.792	1.7193021840269964	-0.171	14.214	3
F178	978.971	3994.02	295.01	82.26	0.018	11.175	-0.009	0.6730527468185536	1.04	12.376	5
F179	1360.906	4902.719	585.723	56.746	-0.048	12.285	0.052	0.6008327554319921	-0.599	7.196	3
F180	2304.603	9338.038	1100.947	35.169	-0.005	27.408	-0.108	1.4060583202698245	-0.146	33.625	7
F181	1477.399	5670.763	775.496	52.914	0.134	13.822	-0.119	1.2161414391426681	-1.352	11.639	9
F182	1685.137	5587.667	1039.473	42.695	-0.031	13.174	-0.399	2.345207879911715	-0.039	15.148	9
F183	1216.551	3844.139	766.54	65.318	0.212	14.798	-0.216	2.558906016249913	-1.835	11.233	5
F184	2232.679	6341.525	1468.302	50.781	0.167	16.925	-0.563	1.0625441167311596	-0.43	15.738	5
F185	920.743	3102.581	583.935	88.497	0.033	9.649	-0.724	0.1	0	1.365	7
F186	612.514	3365.963	-643.318	86.361	-0.146	4.741	2.362	1.3899640283115242	2.118	8.914	4
F187	409.435	2233.363	-32.795	25.008	2.247	9.963	2.066	6.539036626292898	-2.066	7.552	12
F188	1508.327	4359.151	1150.322	66.592	0.163	15.824	-1.034	1.51657508881031	-1.392	25.987	3
F189	1799.714	6838.413	820.87	43.349	-0.061	15.91	-0.023	1.2853015210447702	-0.301	20.76	7
F190	1708.277	6712.284	739.475	50.74	0.163	13.174	-1.646	1.1730302638892143	-1.963	14.882	5
F191	1962.932	8587.963	589.077	47.798	-0.021	20.432	-0.08	1.5588457268119895	-0.06	27.528	4
F192	1982.393	6464.427	919.027	41.369	0.117	4.702	0.329	1.5172343260024141	-0.271	16.572	6
F206	1272.927	4464.381	576.306	39.848	-0.125	8.839	0.257	3.4214032209022074	0.227	9.946	8
F207	1321.231	4787.159	653.053	52.703	0.181	8.958	0.499	1.8479718612576328	-1.671	6.279	6
F208	988.14	4737.943	-8.667	47.901	0.162	19.358	-0.561	1.4744490496453242	-0.188	15.96	7
F209	1538.425	6576.137	704.499	41.522	-0.076	17.387	0.265	1.9310618840420417	-1.51	22.967	7
F210	1887.76	6272.903	772.651	64.381	0.008	14.794	0.869	0.8729261137118078	-0.465	24.527	10
F211	1402.914	5874.702	87.027	38.352	0.009	16.325	-0.287	1.393197760549449	0.49	12.454	3
F212	1988.731	10464.025	-26.159	40.624	-0.06	19.97	-0.078	1.8649396773086255	-0.17	37.629	7
F213	998.032	3725.383	182.259	40.752	-0.275	30.013	0.989	1.7061652909375458	-0.738	5.681	6
F235	1466.11	5162.895	748.44	15.613	0.005	10.747	-0.253	3.1761612049768506	-0.343	10.527	3
F236	2800.867	11512.399	907.11	42.976	-0.063	13.9	-0.214	1.7193021840269964	0.001	40.527	8
F237	794.339	3586.808	319.507	83.422	0.059	9.532	-1.582	0.6957010852370434	-1.635	5.789	6
F238	796.905	4531.936	57.148	48.724	-0.008	20.907	0.084	2.3588132609428833	-1.402	19.13	1
F239	1695.821	7525.152	209.352	32.722	0.087	19.275	-0.127	1.936749854782491	-0.137	38.58	8
F240	649.17	2820.475	162.644	71.674	0.054	22.42	-0.129	0.1	0	19.425	6
F241	1625.567	7547.845	14.598	41.945	-0.062	13.172	0.054	2.2097511172075466	-0.042	26.137	11
F242	1429.859	4469.54	840.006	47.848	-0.054	13.485	-0.344	0.8666025617317318	-1.268	17.217	3
F252	1637.435	6871.681	486.088	44.564	0.017	11.792	-0.139	1.496996993984958	-0.072	20.757	3
F253	2446.554	10480.491	1017.474	29.527	-0.042	6.406	-0.863	2.734958866235469	0.107	41.283	1
F254	1846.115	6719.036	1035.989	31.098	-0.152	32.744	0.062	1.6105899540230593	-0.073	25.256	7
F256	833.954	5722.505	-661.25	49.091	0.256	30.642	-0.268	1.4216187955988764	0.023	10.833	7
F257	1672.105	8628.272	13.727	39.615	0.042	14.934	-0.072	1.6140012391568972	-0.422	30.486	5
F258	900.017	5186.329	36.408	57.63	-0.129	8.869	-1.597	1.132254388377453	0.539	17.556	6
F275	392.822	3876.86	-694.858	68.838	-0.13	16.222	0.571	1.2720062892926278	-0.205	5.745	11
F276	1486.145	5554.26	281.143	43.699	-0.001	16.241	-0.028	1.7703107071923843	0.014	12.365	3
F277	848.9	4299.386	0.408	60.013	0.046	9.517	0.158	0.8757853618324527	-1.545	7.368	4
F278	1192.136	5017.278	414.405	43.196	-0.048	25.57	0.241	2.264950330581225	-0.001	9.915	9
F279	1227.268	6357.024	26.786	55.722	-0.148	23.765	0.141	0.5683308895353129	-0.019	26.757	8
F280	1716.269	7145.176	513.643	43.115	0.021	7.427	-2.247	2.5897876360813834	0.279	21.652	5
F281	1634.508	5878.102	736.08	42.632	0.207	28.056	-0.049	1.7632356620712955	-0.412	13.577	8
F282	1478.974	5226.146	501.186	43.824	0.092	10.866	-1.763	1.9274335267396383	-0.23	12.004	5
F283	787.165	3035.462	286.958	48.034	0.149	31.671	-0.495	1.0793516572461452	-0.443	3.234	5
F285	450.834	2094.247	64.605	93.877	0.016	2.489	1.193	0.1673320053068151	-0.702	0.776	5
F286	597.66	3584.109	-269.644	49.83	-0.146	17.993	-0.147	1.28296531519757	-0.055	23.868	11
F287	2011.043	9686.45	880.972	29.424	-0.032	14.662	-0.147	2.50019999200064	0.016	33.18	7
F288	1018.501	5061.558	407.406	63.68	0.072	5.279	-0.186	0.8602325267042626	-0.9	12.134	9
F289	1828.489	8699.115	287.821	39.795	-0.072	14.503	0.04	2.5179356624028344	0.054	30.628	12
F290	1672.791	8587.859	86.664	30.016	-0.063	10.733	-0.31	2.6412118430750686	-0.066	28.782	6
F291	1427.267	6581.569	231.057	26.018	-0.006	11.667	-0.31	2.9387071987525397	-0.032	41.489	12
F292	902.961	3888.005	197.368	31.988	-0.162	14.445	-0.435	3.3312159941979145	0.222	5.856	11
F293	1244.963	5245.405	411.161	38.219	-0.138	12.991	0.254	2.9359836511806394	-0.548	11.028	9
F294	1425.697	4256.46	857.266	49.041	0.19	6.023	0.172	2.0250925904758033	-0.355	12.07	6
F295	1031.848	5774.126	-54.36	36.82	-0.122	14.033	0.127	1.3160547101089681	-0.147	11.106	9
F296	497.936	2933.829	-112.448	91.063	-0.043	3.893	1.274	0.5244044240850758	-1.16	2.644	5
F297	444.79	3202.811	-161.792	68.046	-0.064	14.387	0.422	1.2477980605851253	-0.066	5.166	6
F298	901.087	5360.408	-247.688	49.992	-0.182	14.417	-0.139	1.3921206844235883	1.1	13.83	6
F58	1738.914	6457.055	752.554	31.748	-0.094	12.932	-0.877	1.539155612665594	-0.575	34.582	5
F59	2982.077	15891.943	174.189	33.417	-0.016	9.49	-0.947	1.6601204775557705	-0.006	59.112	4
F60	1097.102	4986.505	178.642	41.033	0.139	16.147	-1.332	2.1824298385056964	-1.507	18.538	7
F61	1401.113	4374.834	638.073	57.452	0.106	18.769	-0.122	1.2884098726725126	-0.835	11.703	1
F62	1080.814	5295.063	-7.422	44.044	0.143	6.4	0.693	1.9287301521985911	-0.44	15.78	5
F63	1900.891	6314.203	874.929	41.914	0.168	9.12	-0.155	2.024598725673806	-0.85	19.353	1
F64	1266.195	4214.907	694.514	75.303	0.058	15.073	-0.269	1.1309288218097546	1.872	8.147	8
F65	2210.087	9674.93	473.836	33.369	0.046	12.604	-0.137	1.8044389709823936	-0.358	28.734	6
F66	1529.909	7828.198	210.655	42.153	-0.212	22.828	-0.074	1.8289341158171883	-0.121	32.658	8
F67	1203.989	5880.233	85.823	33.425	0.104	14.111	-0.332	2.5207141845120007	-0.068	16.859	9
F68	1470.992	8638.37	-333.528	40.513	0.005	13.915	-0.607	1.6337074401495515	-0.367	61.906	1
F69	987.507	5488.827	-40.392	57.911	-0.008	7.862	-1.985	1.7320508075688772	0.291	13.697	2
F75	2057.963	8326.552	470.935	47.186	0.027	16.797	-0.802	1.143241006962224	0.011	27.856	1
F76	1119.906	4548.925	212.202	53.136	0.198	11.158	-2.06	2.205901176390275	-0.215	12.426	10
F77	1265.187	4929.244	678.801	50.064	-0.02	7.66	-1.518	1.3527749258468684	-0.857	13.78	10
